time="2026-03-12T01:18:58Z" level=warning msg="The \"SIGNAL_VERIFICATION_CODE\" variable is not set. Defaulting to a blank string."
redis-1  | 2026-03-12T01:16:06.639883033Z 1:M 12 Mar 2026 01:16:06.639 - Client closed connection id=156 addr=127.0.0.1:41786 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:16:53.059508727Z 1:M 12 Mar 2026 01:16:53.059 - Client closed connection id=165 addr=127.0.0.1:57876 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:16:56.755081512Z 1:M 12 Mar 2026 01:16:56.754 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:16:58.160087116Z 1:M 12 Mar 2026 01:16:58.159 - Accepted 127.0.0.1:57886
redis-1  | 2026-03-12T01:16:58.161221242Z 1:M 12 Mar 2026 01:16:58.160 - Client closed connection id=166 addr=127.0.0.1:57886 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:01.808714132Z 1:M 12 Mar 2026 01:17:01.808 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:03.218432691Z 1:M 12 Mar 2026 01:17:03.218 - Accepted 127.0.0.1:37600
redis-1  | 2026-03-12T01:17:03.220470392Z 1:M 12 Mar 2026 01:17:03.220 - Client closed connection id=167 addr=127.0.0.1:37600 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:06.843972771Z 1:M 12 Mar 2026 01:17:06.843 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:08.534111797Z 1:M 12 Mar 2026 01:17:08.488 - Accepted 127.0.0.1:37616
redis-1  | 2026-03-12T01:17:08.534150590Z 1:M 12 Mar 2026 01:17:08.489 - Client closed connection id=168 addr=127.0.0.1:37616 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:12.014334017Z 1:M 12 Mar 2026 01:17:12.012 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:13.869687477Z 1:M 12 Mar 2026 01:17:13.869 - Accepted 127.0.0.1:50000
redis-1  | 2026-03-12T01:17:13.870201469Z 1:M 12 Mar 2026 01:17:13.870 - Client closed connection id=169 addr=127.0.0.1:50000 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:17.168947271Z 1:M 12 Mar 2026 01:17:17.166 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:18.942487404Z 1:M 12 Mar 2026 01:17:18.942 - Accepted 127.0.0.1:50014
redis-1  | 2026-03-12T01:17:18.943888490Z 1:M 12 Mar 2026 01:17:18.943 - Client closed connection id=170 addr=127.0.0.1:50014 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:22.205348431Z 1:M 12 Mar 2026 01:17:22.205 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:24.131039574Z 1:M 12 Mar 2026 01:17:24.081 - Accepted 127.0.0.1:37574
redis-1  | 2026-03-12T01:17:24.131073729Z 1:M 12 Mar 2026 01:17:24.081 - Client closed connection id=171 addr=127.0.0.1:37574 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:27.273870099Z 1:M 12 Mar 2026 01:17:27.273 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:29.214594082Z 1:M 12 Mar 2026 01:17:29.214 - Accepted 127.0.0.1:37590
redis-1  | 2026-03-12T01:17:29.216186752Z 1:M 12 Mar 2026 01:17:29.216 - Client closed connection id=172 addr=127.0.0.1:37590 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:32.391921305Z 1:M 12 Mar 2026 01:17:32.372 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:34.307126631Z 1:M 12 Mar 2026 01:17:34.307 - Accepted 127.0.0.1:49276
redis-1  | 2026-03-12T01:17:34.309385090Z 1:M 12 Mar 2026 01:17:34.309 - Client closed connection id=173 addr=127.0.0.1:49276 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:37.519405628Z 1:M 12 Mar 2026 01:17:37.415 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:39.435397869Z 1:M 12 Mar 2026 01:17:39.435 - Accepted 127.0.0.1:49284
redis-1  | 2026-03-12T01:17:39.436429857Z 1:M 12 Mar 2026 01:17:39.436 - Client closed connection id=174 addr=127.0.0.1:49284 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:42.529556202Z 1:M 12 Mar 2026 01:17:42.529 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:44.524203349Z 1:M 12 Mar 2026 01:17:44.522 - Accepted 127.0.0.1:44962
redis-1  | 2026-03-12T01:17:44.526066491Z 1:M 12 Mar 2026 01:17:44.525 - Client closed connection id=175 addr=127.0.0.1:44962 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:47.633032106Z 1:M 12 Mar 2026 01:17:47.632 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:49.732511771Z 1:M 12 Mar 2026 01:17:49.732 - Accepted 127.0.0.1:44968
redis-1  | 2026-03-12T01:17:49.733555670Z 1:M 12 Mar 2026 01:17:49.733 - Client closed connection id=176 addr=127.0.0.1:44968 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:52.680385580Z 1:M 12 Mar 2026 01:17:52.680 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:54.873318213Z 1:M 12 Mar 2026 01:17:54.873 - Accepted 127.0.0.1:47598
redis-1  | 2026-03-12T01:17:54.874321740Z 1:M 12 Mar 2026 01:17:54.874 - Client closed connection id=177 addr=127.0.0.1:47598 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:17:57.752413919Z 1:M 12 Mar 2026 01:17:57.752 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:17:59.957465320Z 1:M 12 Mar 2026 01:17:59.957 - Accepted 127.0.0.1:36842
redis-1  | 2026-03-12T01:17:59.962081049Z 1:M 12 Mar 2026 01:17:59.958 - Client closed connection id=178 addr=127.0.0.1:36842 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:02.870096069Z 1:M 12 Mar 2026 01:18:02.868 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:05.057214982Z 1:M 12 Mar 2026 01:18:05.057 - Accepted 127.0.0.1:36856
redis-1  | 2026-03-12T01:18:05.058334937Z 1:M 12 Mar 2026 01:18:05.058 - Client closed connection id=179 addr=127.0.0.1:36856 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:07.918577741Z 1:M 12 Mar 2026 01:18:07.918 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:10.140955949Z 1:M 12 Mar 2026 01:18:10.140 - Accepted 127.0.0.1:37640
redis-1  | 2026-03-12T01:18:10.141863997Z 1:M 12 Mar 2026 01:18:10.141 - Client closed connection id=180 addr=127.0.0.1:37640 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:12.962077212Z 1:M 12 Mar 2026 01:18:12.961 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:15.219542020Z 1:M 12 Mar 2026 01:18:15.219 - Accepted 127.0.0.1:37644
redis-1  | 2026-03-12T01:18:15.220513512Z 1:M 12 Mar 2026 01:18:15.220 - Client closed connection id=181 addr=127.0.0.1:37644 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:18.011316310Z 1:M 12 Mar 2026 01:18:18.011 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:20.287346416Z 1:M 12 Mar 2026 01:18:20.287 - Accepted 127.0.0.1:60454
redis-1  | 2026-03-12T01:18:20.289166295Z 1:M 12 Mar 2026 01:18:20.288 - Client closed connection id=182 addr=127.0.0.1:60454 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:23.125886716Z 1:M 12 Mar 2026 01:18:23.070 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:25.383785636Z 1:M 12 Mar 2026 01:18:25.383 - Accepted 127.0.0.1:60464
redis-1  | 2026-03-12T01:18:25.385003907Z 1:M 12 Mar 2026 01:18:25.384 - Client closed connection id=183 addr=127.0.0.1:60464 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:28.114028617Z 1:M 12 Mar 2026 01:18:28.112 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:30.601816129Z 1:M 12 Mar 2026 01:18:30.601 - Accepted 127.0.0.1:53708
redis-1  | 2026-03-12T01:18:30.605621438Z 1:M 12 Mar 2026 01:18:30.605 - Client closed connection id=184 addr=127.0.0.1:53708 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:33.231666034Z 1:M 12 Mar 2026 01:18:33.231 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:35.711086292Z 1:M 12 Mar 2026 01:18:35.710 - Accepted 127.0.0.1:53712
redis-1  | 2026-03-12T01:18:35.716508229Z 1:M 12 Mar 2026 01:18:35.716 - Client closed connection id=185 addr=127.0.0.1:53712 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:38.278005416Z 1:M 12 Mar 2026 01:18:38.277 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:40.841511649Z 1:M 12 Mar 2026 01:18:40.841 - Accepted 127.0.0.1:55940
redis-1  | 2026-03-12T01:18:40.842710717Z 1:M 12 Mar 2026 01:18:40.842 - Client closed connection id=186 addr=127.0.0.1:55940 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:43.349919403Z 1:M 12 Mar 2026 01:18:43.349 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:45.924212260Z 1:M 12 Mar 2026 01:18:45.924 - Accepted 127.0.0.1:55954
redis-1  | 2026-03-12T01:18:45.926207933Z 1:M 12 Mar 2026 01:18:45.926 - Client closed connection id=187 addr=127.0.0.1:55954 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:48.386988027Z 1:M 12 Mar 2026 01:18:48.386 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:51.005973851Z 1:M 12 Mar 2026 01:18:51.005 - Accepted 127.0.0.1:55382
redis-1  | 2026-03-12T01:18:51.010414087Z 1:M 12 Mar 2026 01:18:51.010 - Client closed connection id=188 addr=127.0.0.1:55382 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=7 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:53.427186585Z 1:M 12 Mar 2026 01:18:53.426 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:18:56.182276807Z 1:M 12 Mar 2026 01:18:56.182 - Accepted 127.0.0.1:55394
redis-1  | 2026-03-12T01:18:56.184474335Z 1:M 12 Mar 2026 01:18:56.184 - Client closed connection id=189 addr=127.0.0.1:55394 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:18:58.479049857Z 1:M 12 Mar 2026 01:18:58.478 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:19:01.247916813Z 1:M 12 Mar 2026 01:19:01.247 - Accepted 127.0.0.1:34360
redis-1  | 2026-03-12T01:19:01.249997963Z 1:M 12 Mar 2026 01:19:01.249 - Client closed connection id=190 addr=127.0.0.1:34360 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:19:03.527251860Z 1:M 12 Mar 2026 01:19:03.527 . 0 clients connected (0 replicas), 998152 bytes in use
redis-1  | 2026-03-12T01:19:06.313588983Z 1:M 12 Mar 2026 01:19:06.313 - Accepted 127.0.0.1:34364
redis-1  | 2026-03-12T01:19:06.315121009Z 1:M 12 Mar 2026 01:19:06.314 - Client closed connection id=191 addr=127.0.0.1:34364 laddr=127.0.0.1:6379 fd=10 name= age=0 idle=0 flags=N db=0 sub=0 psub=0 ssub=0 multi=-1 watch=0 qbuf=0 qbuf-free=20474 argv-mem=0 multi-mem=0 rbs=16384 rbp=16384 obl=0 oll=0 omem=0 tot-mem=37760 events=r cmd=ping user=default redir=-1 resp=2 lib-name= lib-ver=
redis-1  | 2026-03-12T01:19:08.564774894Z 1:M 12 Mar 2026 01:19:08.564 . 0 clients connected (0 replicas), 998152 bytes in use
