time="2026-03-12T01:03:15Z" level=warning msg="The \"OPENCLAW_ADMIN_PASSWORD\" variable is not set. Defaulting to a blank string."
postgres-1  | 2026-03-12T01:02:53.236131553Z The files belonging to this database system will be owned by user "postgres".
postgres-1  | 2026-03-12T01:20:38.234274254Z 2026-03-12 01:20:38.234 UTC [352] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:21:08.309381181Z 2026-03-12 01:21:08.309 UTC [360] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:21:38.376033932Z 2026-03-12 01:21:38.375 UTC [368] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:22:08.444584130Z 2026-03-12 01:22:08.444 UTC [376] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:22:38.512948150Z 2026-03-12 01:22:38.512 UTC [385] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:23:08.596407507Z 2026-03-12 01:23:08.596 UTC [394] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:23:38.660911644Z 2026-03-12 01:23:38.660 UTC [403] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:24:08.743476205Z 2026-03-12 01:24:08.743 UTC [412] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:24:38.808963895Z 2026-03-12 01:24:38.808 UTC [420] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:25:08.892119762Z 2026-03-12 01:25:08.891 UTC [428] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:25:38.973753011Z 2026-03-12 01:25:38.973 UTC [436] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:26:09.160484206Z 2026-03-12 01:26:09.160 UTC [445] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:26:39.236738936Z 2026-03-12 01:26:39.236 UTC [453] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:27:09.303452311Z 2026-03-12 01:27:09.303 UTC [461] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:27:39.392438788Z 2026-03-12 01:27:39.392 UTC [470] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:28:09.461825145Z 2026-03-12 01:28:09.461 UTC [478] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:28:39.533947008Z 2026-03-12 01:28:39.533 UTC [486] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:29:09.604335637Z 2026-03-12 01:29:09.604 UTC [495] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:29:39.673351271Z 2026-03-12 01:29:39.673 UTC [504] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:30:09.746270049Z 2026-03-12 01:30:09.746 UTC [513] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:30:39.852694782Z 2026-03-12 01:30:39.852 UTC [521] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:31:09.923423055Z 2026-03-12 01:31:09.923 UTC [529] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:31:39.992716533Z 2026-03-12 01:31:39.992 UTC [537] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:32:10.061594182Z 2026-03-12 01:32:10.061 UTC [546] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:32:40.130905190Z 2026-03-12 01:32:40.130 UTC [555] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:33:10.200406734Z 2026-03-12 01:33:10.200 UTC [563] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:33:40.269020421Z 2026-03-12 01:33:40.268 UTC [571] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:34:10.338081831Z 2026-03-12 01:34:10.337 UTC [579] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:34:40.408689798Z 2026-03-12 01:34:40.408 UTC [588] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:35:10.476686453Z 2026-03-12 01:35:10.476 UTC [595] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:35:40.548255456Z 2026-03-12 01:35:40.548 UTC [605] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:36:10.615543444Z 2026-03-12 01:36:10.615 UTC [613] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:36:40.681740142Z 2026-03-12 01:36:40.681 UTC [622] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:37:10.769341220Z 2026-03-12 01:37:10.769 UTC [630] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:37:40.844528225Z 2026-03-12 01:37:40.844 UTC [638] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:38:10.909081357Z 2026-03-12 01:38:10.908 UTC [646] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:38:40.972118685Z 2026-03-12 01:38:40.971 UTC [654] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:39:11.040045210Z 2026-03-12 01:39:11.039 UTC [663] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:39:41.129647144Z 2026-03-12 01:39:41.129 UTC [671] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:40:11.197731710Z 2026-03-12 01:40:11.197 UTC [679] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:40:41.261817841Z 2026-03-12 01:40:41.261 UTC [687] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:41:11.331592601Z 2026-03-12 01:41:11.331 UTC [695] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:41:41.399676767Z 2026-03-12 01:41:41.399 UTC [703] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:42:11.495941621Z 2026-03-12 01:42:11.494 UTC [711] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:42:41.564111253Z 2026-03-12 01:42:41.563 UTC [719] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:43:11.634259150Z 2026-03-12 01:43:11.634 UTC [727] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:43:41.702002395Z 2026-03-12 01:43:41.700 UTC [735] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:44:11.807955876Z 2026-03-12 01:44:11.807 UTC [744] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:44:41.892685425Z 2026-03-12 01:44:41.892 UTC [751] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:45:12.018031607Z 2026-03-12 01:45:12.017 UTC [759] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:45:42.089680911Z 2026-03-12 01:45:42.089 UTC [767] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:46:12.200328915Z 2026-03-12 01:46:12.200 UTC [775] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:46:42.286620420Z 2026-03-12 01:46:42.286 UTC [785] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:47:12.391657263Z 2026-03-12 01:47:12.391 UTC [793] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:47:42.458464236Z 2026-03-12 01:47:42.458 UTC [801] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:48:12.539460590Z 2026-03-12 01:48:12.539 UTC [809] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:48:42.611881621Z 2026-03-12 01:48:42.611 UTC [817] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:49:12.695399389Z 2026-03-12 01:49:12.694 UTC [825] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:49:42.793547854Z 2026-03-12 01:49:42.793 UTC [833] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:50:12.867802633Z 2026-03-12 01:50:12.867 UTC [841] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:50:43.030729613Z 2026-03-12 01:50:43.030 UTC [849] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:51:13.154365587Z 2026-03-12 01:51:13.154 UTC [856] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:51:43.326214988Z 2026-03-12 01:51:43.322 UTC [863] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:52:13.517550608Z 2026-03-12 01:52:13.517 UTC [871] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:52:43.585684326Z 2026-03-12 01:52:43.585 UTC [879] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:53:13.685886395Z 2026-03-12 01:53:13.685 UTC [887] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:53:43.750923843Z 2026-03-12 01:53:43.750 UTC [895] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:54:13.824157142Z 2026-03-12 01:54:13.822 UTC [903] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:54:43.887178131Z 2026-03-12 01:54:43.886 UTC [911] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:55:13.957171607Z 2026-03-12 01:55:13.957 UTC [919] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:55:44.031216432Z 2026-03-12 01:55:44.031 UTC [928] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:56:14.097784969Z 2026-03-12 01:56:14.097 UTC [936] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:56:44.163135741Z 2026-03-12 01:56:44.162 UTC [944] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:57:14.261691222Z 2026-03-12 01:57:14.261 UTC [952] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:57:44.327192049Z 2026-03-12 01:57:44.327 UTC [960] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:58:14.470017746Z 2026-03-12 01:58:14.469 UTC [968] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:58:44.564785583Z 2026-03-12 01:58:44.564 UTC [977] FATAL:  database "ds-admin" does not exist
