time="2026-03-12T01:03:21Z" level=warning msg="The \"OPENCLAW_ADMIN_PASSWORD\" variable is not set. Defaulting to a blank string."
grafana-1  | 2026-03-12T01:03:13.231791375Z logger=auth t=2026-03-12T01:03:13.231652745Z level=debug msg="Starting cleanup of external sessions"
grafana-1  | 2026-03-12T01:03:14.426706417Z logger=installer.fs t=2026-03-12T01:03:14.425521742Z level=info msg="Downloaded and extracted grafana-lokiexplore-app v1.0.40 zip successfully to /var/lib/grafana/plugins/grafana-lokiexplore-app"
grafana-1  | 2026-03-12T01:03:14.426730085Z logger=plugin.loader source=external t=2026-03-12T01:03:14.425664645Z level=debug msg="Loading plugin source..."
grafana-1  | 2026-03-12T01:03:14.427894969Z logger=local.source t=2026-03-12T01:03:14.427754801Z level=debug msg="Loading plugin" path=/var/lib/grafana/plugins/grafana-lokiexplore-app/plugin.json
grafana-1  | 2026-03-12T01:03:14.429811491Z logger=plugins.discovery t=2026-03-12T01:03:14.429682155Z level=debug msg="Found plugins" class=external count=1
grafana-1  | 2026-03-12T01:03:14.429873410Z logger=plugins.discovery t=2026-03-12T01:03:14.429809936Z level=debug msg="Discovery complete" class=external found=1 filtered=1
grafana-1  | 2026-03-12T01:03:14.429887798Z logger=plugin.loader t=2026-03-12T01:03:14.429861255Z level=debug msg=Discovered class=external duration=4.131334ms
grafana-1  | 2026-03-12T01:03:14.432775817Z logger=infra.kvstore.sql t=2026-03-12T01:03:14.43261198Z level=debug msg="got kvstore value" orgId=0 namespace=plugin.publickeys key=key-7e4d0c6a708866e7 value="-----BEGIN PGP PUBLIC KEY BLOCK-----\r\nVersion: OpenPGP.js v4.10.1\r\nComment: https://openpgpjs.org\r\n\r\nxpMEXpTXXxMFK4EEACMEIwQBiOUQhvGbDLvndE0fEXaR0908wXzPGFpf0P0Z\r\nHJ06tsq+0higIYHp7WTNJVEZtcwoYLcPRGaa9OQqbUU63BEyZdgAkPTz3RFd\r\n5+TkDWZizDcaVFhzbDd500yTwexrpIrdInwC/jrgs7Zy/15h8KA59XXUkdmT\r\nYB6TR+OA9RKME+dCJozNGUdyYWZhbmEgPGVuZ0BncmFmYW5hLmNvbT7CvAQQ\r\nEwoAIAUCXpTXXwYLCQcIAwIEFQgKAgQWAgEAAhkBAhsDAh4BAAoJEH5NDGpw\r\niGbnaWoCCQGQ3SQnCkRWrG6XrMkXOKfDTX2ow9fuoErN46BeKmLM4f1EkDZQ\r\nTpq3SE8+My8B5BIH3SOcBeKzi3S57JHGBdFA+wIJAYWMrJNIvw8GeXne+oUo\r\nNzzACdvfqXAZEp/HFMQhCKfEoWGJE8d2YmwY2+3GufVRTI5lQnZOHLE8L/Vc\r\n1S5MXESjzpcEXpTXXxIFK4EEACMEIwQBtHX/SD5Qm3v4V92qpaIZQgtTX0sT\r\ncFPjYWAHqsQ1iENrYN/vg1wU3ADlYATvydOQYvkTyT/tbDvx2Fse8PL84MQA\r\nYKKQ6AJ3gLVvmeouZdU03YoV4MYaT8KbnJUkZQZkqdz2riOlySNI9CG3oYmv\r\nomjUAtzgAgnCcurfGLZkkMxlmY8DAQoJwqQEGBMKAAkFAl6U118CGwwACgkQ\r\nfk0ManCIZuc0jAIJAVw2xdLr4ZQqPUhubrUyFcqlWoW8dQoQagwO8s8ubmby\r\nKuLA9FWJkfuuRQr+O9gHkDVCez3aism7zmJBqIOi38aNAgjJ3bo6leSS2jR/\r\nx5NqiKVi83tiXDPncDQYPymOnMhW0l7CVA7wj75HrFvvlRI/4MArlbsZ2tBn\r\nN1c5v9v/4h6qeA==\r\n=DNbR\r\n-----END PGP PUBLIC KEY BLOCK-----\r\n"
grafana-1  | 2026-03-12T01:03:14.691937935Z logger=plugins.signature t=2026-03-12T01:03:14.691094299Z level=debug msg="Plugin signature valid" id=grafana-lokiexplore-app
grafana-1  | 2026-03-12T01:03:14.691981651Z logger=plugin.loader t=2026-03-12T01:03:14.691252506Z level=debug msg=Bootstrapped class=external duration=261.351084ms
grafana-1  | 2026-03-12T01:03:14.691986530Z logger=plugin.signature.validator t=2026-03-12T01:03:14.691357986Z level=debug msg="Plugin has valid signature" id=grafana-lokiexplore-app
grafana-1  | 2026-03-12T01:03:14.702585613Z logger=plugin.loader t=2026-03-12T01:03:14.702390493Z level=debug msg=Validated class=external duration=11.032081ms total=1
grafana-1  | 2026-03-12T01:03:14.711696569Z logger=plugins.registration t=2026-03-12T01:03:14.711489107Z level=info msg="Plugin registered" pluginId=grafana-lokiexplore-app
grafana-1  | 2026-03-12T01:03:14.711780008Z logger=plugin.loader t=2026-03-12T01:03:14.711624977Z level=debug msg=Initialized class=external duration=8.99293ms
grafana-1  | 2026-03-12T01:03:14.711785692Z logger=plugin.loader source=external t=2026-03-12T01:03:14.711669566Z level=debug msg="Plugin source loaded" plugins=grafana-lokiexplore-app duration=286.014314ms
grafana-1  | 2026-03-12T01:03:14.711792948Z logger=plugin.backgroundinstaller t=2026-03-12T01:03:14.711707361Z level=info msg="Plugin successfully installed" pluginId=grafana-lokiexplore-app version= duration=1.734692404s
grafana-1  | 2026-03-12T01:03:14.712425761Z logger=plugin.backgroundinstaller t=2026-03-12T01:03:14.712312329Z level=info msg="Installing plugin" pluginId=grafana-pyroscope-app version=
grafana-1  | 2026-03-12T01:03:15.141415144Z logger=plugin.repository t=2026-03-12T01:03:15.14108874Z level=debug msg="Installing plugin from https://grafana.com/api/plugins/grafana-pyroscope-app/versions/1.17.0/download"
grafana-1  | 2026-03-12T01:03:15.398334650Z logger=plugin.installer t=2026-03-12T01:03:15.398193326Z level=info msg="Installing plugin" pluginId=grafana-pyroscope-app version=
grafana-1  | 2026-03-12T01:03:15.660183454Z logger=installer.fs t=2026-03-12T01:03:15.659795251Z level=info msg="Downloaded and extracted grafana-pyroscope-app v1.17.0 zip successfully to /var/lib/grafana/plugins/grafana-pyroscope-app"
grafana-1  | 2026-03-12T01:03:15.660207335Z logger=plugin.loader source=external t=2026-03-12T01:03:15.660135343Z level=debug msg="Loading plugin source..."
grafana-1  | 2026-03-12T01:03:15.661185707Z logger=local.source t=2026-03-12T01:03:15.661034009Z level=debug msg="Loading plugin" path=/var/lib/grafana/plugins/grafana-pyroscope-app/plugin.json
grafana-1  | 2026-03-12T01:03:15.662627322Z logger=plugins.discovery t=2026-03-12T01:03:15.662309699Z level=debug msg="Found plugins" class=external count=1
grafana-1  | 2026-03-12T01:03:15.662645720Z logger=plugins.discovery t=2026-03-12T01:03:15.662568668Z level=debug msg="Discovery complete" class=external found=1 filtered=1
grafana-1  | 2026-03-12T01:03:15.662662147Z logger=plugin.loader t=2026-03-12T01:03:15.662637628Z level=debug msg=Discovered class=external duration=2.462907ms
grafana-1  | 2026-03-12T01:03:15.664332631Z logger=infra.kvstore.sql t=2026-03-12T01:03:15.663717084Z level=debug msg="got kvstore value" orgId=0 namespace=plugin.publickeys key=key-7e4d0c6a708866e7 value="-----BEGIN PGP PUBLIC KEY BLOCK-----\r\nVersion: OpenPGP.js v4.10.1\r\nComment: https://openpgpjs.org\r\n\r\nxpMEXpTXXxMFK4EEACMEIwQBiOUQhvGbDLvndE0fEXaR0908wXzPGFpf0P0Z\r\nHJ06tsq+0higIYHp7WTNJVEZtcwoYLcPRGaa9OQqbUU63BEyZdgAkPTz3RFd\r\n5+TkDWZizDcaVFhzbDd500yTwexrpIrdInwC/jrgs7Zy/15h8KA59XXUkdmT\r\nYB6TR+OA9RKME+dCJozNGUdyYWZhbmEgPGVuZ0BncmFmYW5hLmNvbT7CvAQQ\r\nEwoAIAUCXpTXXwYLCQcIAwIEFQgKAgQWAgEAAhkBAhsDAh4BAAoJEH5NDGpw\r\niGbnaWoCCQGQ3SQnCkRWrG6XrMkXOKfDTX2ow9fuoErN46BeKmLM4f1EkDZQ\r\nTpq3SE8+My8B5BIH3SOcBeKzi3S57JHGBdFA+wIJAYWMrJNIvw8GeXne+oUo\r\nNzzACdvfqXAZEp/HFMQhCKfEoWGJE8d2YmwY2+3GufVRTI5lQnZOHLE8L/Vc\r\n1S5MXESjzpcEXpTXXxIFK4EEACMEIwQBtHX/SD5Qm3v4V92qpaIZQgtTX0sT\r\ncFPjYWAHqsQ1iENrYN/vg1wU3ADlYATvydOQYvkTyT/tbDvx2Fse8PL84MQA\r\nYKKQ6AJ3gLVvmeouZdU03YoV4MYaT8KbnJUkZQZkqdz2riOlySNI9CG3oYmv\r\nomjUAtzgAgnCcurfGLZkkMxlmY8DAQoJwqQEGBMKAAkFAl6U118CGwwACgkQ\r\nfk0ManCIZuc0jAIJAVw2xdLr4ZQqPUhubrUyFcqlWoW8dQoQagwO8s8ubmby\r\nKuLA9FWJkfuuRQr+O9gHkDVCez3aism7zmJBqIOi38aNAgjJ3bo6leSS2jR/\r\nx5NqiKVi83tiXDPncDQYPymOnMhW0l7CVA7wj75HrFvvlRI/4MArlbsZ2tBn\r\nN1c5v9v/4h6qeA==\r\n=DNbR\r\n-----END PGP PUBLIC KEY BLOCK-----\r\n"
grafana-1  | 2026-03-12T01:03:15.744418082Z logger=plugins.signature t=2026-03-12T01:03:15.742245099Z level=debug msg="Plugin signature valid" id=grafana-pyroscope-app
grafana-1  | 2026-03-12T01:03:15.744563386Z logger=plugin.loader t=2026-03-12T01:03:15.74241282Z level=debug msg=Bootstrapped class=external duration=79.74007ms
grafana-1  | 2026-03-12T01:03:15.744569400Z logger=plugin.signature.validator t=2026-03-12T01:03:15.742479662Z level=debug msg="Plugin has valid signature" id=grafana-pyroscope-app
grafana-1  | 2026-03-12T01:03:15.744572745Z logger=plugin.loader t=2026-03-12T01:03:15.742914515Z level=debug msg=Validated class=external duration=441.388µs total=1
grafana-1  | 2026-03-12T01:03:15.744575918Z logger=plugins.registration t=2026-03-12T01:03:15.743032216Z level=info msg="Plugin registered" pluginId=grafana-pyroscope-app
grafana-1  | 2026-03-12T01:03:15.744578428Z logger=plugin.loader t=2026-03-12T01:03:15.743066147Z level=debug msg=Initialized class=external duration=73.649µs
grafana-1  | 2026-03-12T01:03:15.744581008Z logger=plugin.loader source=external t=2026-03-12T01:03:15.743097528Z level=debug msg="Plugin source loaded" plugins=grafana-pyroscope-app duration=82.969276ms
grafana-1  | 2026-03-12T01:03:15.744584900Z logger=plugin.backgroundinstaller t=2026-03-12T01:03:15.743140966Z level=info msg="Plugin successfully installed" pluginId=grafana-pyroscope-app version= duration=1.030727385s
grafana-1  | 2026-03-12T01:03:15.744588698Z logger=plugin.backgroundinstaller t=2026-03-12T01:03:15.743195077Z level=info msg="Installing plugin" pluginId=grafana-exploretraces-app version=
grafana-1  | 2026-03-12T01:03:16.062282801Z logger=plugin.repository t=2026-03-12T01:03:16.061944637Z level=debug msg="Installing plugin from https://grafana.com/api/plugins/grafana-exploretraces-app/versions/1.3.3/download"
grafana-1  | 2026-03-12T01:03:16.341973858Z logger=plugin.installer t=2026-03-12T01:03:16.341564383Z level=info msg="Installing plugin" pluginId=grafana-exploretraces-app version=
grafana-1  | 2026-03-12T01:03:16.500610920Z logger=installer.fs t=2026-03-12T01:03:16.50045998Z level=info msg="Downloaded and extracted grafana-exploretraces-app v1.3.3 zip successfully to /var/lib/grafana/plugins/grafana-exploretraces-app"
grafana-1  | 2026-03-12T01:03:16.500800259Z logger=plugin.loader source=external t=2026-03-12T01:03:16.500736373Z level=debug msg="Loading plugin source..."
grafana-1  | 2026-03-12T01:03:16.502147705Z logger=local.source t=2026-03-12T01:03:16.502043378Z level=debug msg="Loading plugin" path=/var/lib/grafana/plugins/grafana-exploretraces-app/plugin.json
grafana-1  | 2026-03-12T01:03:16.503158943Z logger=plugins.discovery t=2026-03-12T01:03:16.50307438Z level=debug msg="Found plugins" class=external count=1
grafana-1  | 2026-03-12T01:03:16.503880817Z logger=plugins.discovery t=2026-03-12T01:03:16.503240697Z level=debug msg="Discovery complete" class=external found=1 filtered=1
grafana-1  | 2026-03-12T01:03:16.503895495Z logger=plugin.loader t=2026-03-12T01:03:16.503269171Z level=debug msg=Discovered class=external duration=1.787398ms
grafana-1  | 2026-03-12T01:03:16.504303450Z logger=infra.kvstore.sql t=2026-03-12T01:03:16.504196004Z level=debug msg="got kvstore value" orgId=0 namespace=plugin.publickeys key=key-7e4d0c6a708866e7 value="-----BEGIN PGP PUBLIC KEY BLOCK-----\r\nVersion: OpenPGP.js v4.10.1\r\nComment: https://openpgpjs.org\r\n\r\nxpMEXpTXXxMFK4EEACMEIwQBiOUQhvGbDLvndE0fEXaR0908wXzPGFpf0P0Z\r\nHJ06tsq+0higIYHp7WTNJVEZtcwoYLcPRGaa9OQqbUU63BEyZdgAkPTz3RFd\r\n5+TkDWZizDcaVFhzbDd500yTwexrpIrdInwC/jrgs7Zy/15h8KA59XXUkdmT\r\nYB6TR+OA9RKME+dCJozNGUdyYWZhbmEgPGVuZ0BncmFmYW5hLmNvbT7CvAQQ\r\nEwoAIAUCXpTXXwYLCQcIAwIEFQgKAgQWAgEAAhkBAhsDAh4BAAoJEH5NDGpw\r\niGbnaWoCCQGQ3SQnCkRWrG6XrMkXOKfDTX2ow9fuoErN46BeKmLM4f1EkDZQ\r\nTpq3SE8+My8B5BIH3SOcBeKzi3S57JHGBdFA+wIJAYWMrJNIvw8GeXne+oUo\r\nNzzACdvfqXAZEp/HFMQhCKfEoWGJE8d2YmwY2+3GufVRTI5lQnZOHLE8L/Vc\r\n1S5MXESjzpcEXpTXXxIFK4EEACMEIwQBtHX/SD5Qm3v4V92qpaIZQgtTX0sT\r\ncFPjYWAHqsQ1iENrYN/vg1wU3ADlYATvydOQYvkTyT/tbDvx2Fse8PL84MQA\r\nYKKQ6AJ3gLVvmeouZdU03YoV4MYaT8KbnJUkZQZkqdz2riOlySNI9CG3oYmv\r\nomjUAtzgAgnCcurfGLZkkMxlmY8DAQoJwqQEGBMKAAkFAl6U118CGwwACgkQ\r\nfk0ManCIZuc0jAIJAVw2xdLr4ZQqPUhubrUyFcqlWoW8dQoQagwO8s8ubmby\r\nKuLA9FWJkfuuRQr+O9gHkDVCez3aism7zmJBqIOi38aNAgjJ3bo6leSS2jR/\r\nx5NqiKVi83tiXDPncDQYPymOnMhW0l7CVA7wj75HrFvvlRI/4MArlbsZ2tBn\r\nN1c5v9v/4h6qeA==\r\n=DNbR\r\n-----END PGP PUBLIC KEY BLOCK-----\r\n"
grafana-1  | 2026-03-12T01:03:16.581105036Z logger=plugins.signature t=2026-03-12T01:03:16.580978824Z level=debug msg="Plugin signature valid" id=grafana-exploretraces-app
grafana-1  | 2026-03-12T01:03:16.582981990Z logger=plugin.loader t=2026-03-12T01:03:16.581231897Z level=debug msg=Bootstrapped class=external duration=77.947319ms
grafana-1  | 2026-03-12T01:03:16.583006259Z logger=plugin.signature.validator t=2026-03-12T01:03:16.581259017Z level=debug msg="Plugin has valid signature" id=grafana-exploretraces-app
grafana-1  | 2026-03-12T01:03:16.587058899Z logger=plugin.loader t=2026-03-12T01:03:16.586924091Z level=debug msg=Validated class=external duration=5.664685ms total=1
grafana-1  | 2026-03-12T01:03:16.587302233Z logger=plugins.registration t=2026-03-12T01:03:16.587239844Z level=info msg="Plugin registered" pluginId=grafana-exploretraces-app
grafana-1  | 2026-03-12T01:03:16.587440872Z logger=plugin.loader t=2026-03-12T01:03:16.587384924Z level=debug msg=Initialized class=external duration=206.44µs
grafana-1  | 2026-03-12T01:03:16.587616723Z logger=plugin.loader source=external t=2026-03-12T01:03:16.587553221Z level=debug msg="Plugin source loaded" plugins=grafana-exploretraces-app duration=86.755286ms
grafana-1  | 2026-03-12T01:03:16.587747732Z logger=plugin.backgroundinstaller t=2026-03-12T01:03:16.587689784Z level=info msg="Plugin successfully installed" pluginId=grafana-exploretraces-app version= duration=844.462457ms
grafana-1  | 2026-03-12T01:03:16.587886614Z logger=plugin.backgroundinstaller t=2026-03-12T01:03:16.587824808Z level=info msg="Installing plugin" pluginId=grafana-metricsdrilldown-app version=
grafana-1  | 2026-03-12T01:03:16.944903268Z logger=plugin.repository t=2026-03-12T01:03:16.944581912Z level=debug msg="Installing plugin from https://grafana.com/api/plugins/grafana-metricsdrilldown-app/versions/1.0.34/download"
grafana-1  | 2026-03-12T01:03:17.209023148Z logger=plugin.installer t=2026-03-12T01:03:17.208873932Z level=info msg="Installing plugin" pluginId=grafana-metricsdrilldown-app version=
grafana-1  | 2026-03-12T01:03:17.348627078Z logger=installer.fs t=2026-03-12T01:03:17.348447218Z level=info msg="Downloaded and extracted grafana-metricsdrilldown-app v1.0.34 zip successfully to /var/lib/grafana/plugins/grafana-metricsdrilldown-app"
grafana-1  | 2026-03-12T01:03:17.348827744Z logger=plugin.loader source=external t=2026-03-12T01:03:17.348744357Z level=debug msg="Loading plugin source..."
grafana-1  | 2026-03-12T01:03:17.350198791Z logger=local.source t=2026-03-12T01:03:17.350085646Z level=debug msg="Loading plugin" path=/var/lib/grafana/plugins/grafana-metricsdrilldown-app/plugin.json
grafana-1  | 2026-03-12T01:03:17.351939700Z logger=plugins.discovery t=2026-03-12T01:03:17.351804628Z level=debug msg="Found plugins" class=external count=1
grafana-1  | 2026-03-12T01:03:17.352099193Z logger=plugins.discovery t=2026-03-12T01:03:17.352031913Z level=debug msg="Discovery complete" class=external found=1 filtered=1
grafana-1  | 2026-03-12T01:03:17.352211893Z logger=plugin.loader t=2026-03-12T01:03:17.352167955Z level=debug msg=Discovered class=external duration=3.232173ms
